Periode,Rentang Tanggal,Jumlah Game,date_from,date_to
A (Curry ada),2021-10-19 – 2022-03-14,69,2021-10-19,2022-03-14
B (Curry absen),2022-03-16 – 2022-04-10,13,2022-03-16,2022-04-10
