periode,from_player,to_player,total_passes,total_assists
B,Andrew Wiggins,Juan Toscano-Anderson,5,0
B,Andrew Wiggins,Chris Chiozza,3,0
B,Andrew Wiggins,Damion Lee,14,0
B,Andrew Wiggins,Gary Payton II,7,1
B,Andrew Wiggins,Kevon Looney,22,1
B,Andrew Wiggins,Otto Porter Jr.,15,1
B,Andrew Wiggins,Draymond Green,52,2
B,Andrew Wiggins,Klay Thompson,17,3
B,Andrew Wiggins,Nemanja Bjelica,25,2
B,Andrew Wiggins,Andre Iguodala,7,0
B,Jordan Poole,Moses Moody,15,0
B,Jordan Poole,Jonathan Kuminga,64,5
B,Jordan Poole,Quinndary Weatherspoon,1,1
B,Jordan Poole,Juan Toscano-Anderson,15,2
B,Jordan Poole,Chris Chiozza,3,0
B,Jordan Poole,Damion Lee,38,3
B,Jordan Poole,Gary Payton II,27,8
B,Jordan Poole,Kevon Looney,95,6
B,Jordan Poole,Andrew Wiggins,118,16
B,Jordan Poole,Otto Porter Jr.,32,2
B,Jordan Poole,Draymond Green,189,13
B,Jordan Poole,Klay Thompson,100,16
B,Jordan Poole,Nemanja Bjelica,37,2
B,Jordan Poole,Stephen Curry,4,0
B,Jordan Poole,Andre Iguodala,14,3
B,Klay Thompson,Moses Moody,4,0
B,Klay Thompson,Jonathan Kuminga,10,2
B,Klay Thompson,Jordan Poole,54,1
B,Klay Thompson,Juan Toscano-Anderson,2,0
B,Klay Thompson,Chris Chiozza,11,0
B,Klay Thompson,Damion Lee,8,0
B,Klay Thompson,Gary Payton II,21,6
B,Klay Thompson,Kevon Looney,29,2
B,Klay Thompson,Andrew Wiggins,18,2
B,Klay Thompson,Otto Porter Jr.,13,2
B,Klay Thompson,Draymond Green,47,3
B,Klay Thompson,Nemanja Bjelica,18,4
B,Klay Thompson,Stephen Curry,2,0
B,Klay Thompson,Andre Iguodala,7,0
B,Draymond Green,Moses Moody,6,1
B,Draymond Green,Jonathan Kuminga,24,4
B,Draymond Green,Jordan Poole,313,18
B,Draymond Green,Juan Toscano-Anderson,4,0
B,Draymond Green,Chris Chiozza,1,0
B,Draymond Green,Damion Lee,34,1
B,Draymond Green,Gary Payton II,27,3
B,Draymond Green,Kevon Looney,21,2
B,Draymond Green,Andrew Wiggins,65,8
B,Draymond Green,Otto Porter Jr.,46,8
B,Draymond Green,Klay Thompson,111,18
B,Draymond Green,Nemanja Bjelica,9,1
B,Draymond Green,Stephen Curry,8,0
B,Draymond Green,Andre Iguodala,3,0
B,Otto Porter Jr.,Jonathan Kuminga,6,0
B,Otto Porter Jr.,Jordan Poole,79,1
B,Otto Porter Jr.,Chris Chiozza,8,0
B,Otto Porter Jr.,Damion Lee,9,1
B,Otto Porter Jr.,Gary Payton II,10,0
B,Otto Porter Jr.,Kevon Looney,9,3
B,Otto Porter Jr.,Andrew Wiggins,29,2
B,Otto Porter Jr.,Draymond Green,42,0
B,Otto Porter Jr.,Klay Thompson,22,4
B,Otto Porter Jr.,Nemanja Bjelica,17,2
B,Otto Porter Jr.,Stephen Curry,4,0
B,Otto Porter Jr.,Andre Iguodala,33,0
B,Kevon Looney,Moses Moody,5,0
B,Kevon Looney,Jonathan Kuminga,21,0
